"animal_id","year_cap","year_birth","age","weight","bcs","group"
"the game",2006,2001,5.5,NA,223,"dmp"
"mcstedman",2006,1998,8.5,NA,177,"dmp"
"vince young",2007,2002,5.5,213,199,"dmp"
"junior jr",2007,2002,5.5,212,192,"dmp"
"the game",2008,2001,7.5,210,228,"dmp"
"junior jr",2008,2002,6.5,206,187,"dmp"
"junior jr",2009,2002,7.5,192,192,"dmp"
"the game",2009,2001,8.5,206,194,"dmp"
"true grit",2010,2007,3.5,208,155,"dmp"
"the duke",2010,2007,3.5,164,150,"dmp"
"the prodigal son",2011,2008,3.5,161,151,"dmp"
"true grit",2011,2007,4.5,202,162,"dmp"
"high hopes",2012,2008,4.5,178,174,"dmp"
"the duke",2012,2007,5.5,214,176,"dmp"
"lays out",2013,2008,5.5,186,171,"dmp"
"the prodigal son",2013,2008,5.5,193,189,"dmp"
"up out back",2014,2008,6.5,NA,196,"dmp"
"high hopes",2014,2008,6.5,167,190,"dmp"
"cowboy",2015,2009,6.5,196,NA,"dmp"
"my dads a hoe",2015,2009,6.5,197,NA,"dmp"
"this works",2016,2011,5.5,203,204,"dmp"
"razor",2016,2011,5.5,164,207,"dmp"
"captain call",2017,2013,4.5,195,218,"dmp"
"baby crabman",2017,2010,7.5,184,204,"dmp"
"riptide",2018,2012,6.5,200,199,"dmp"
"just reboot it",2018,2012,6.5,208,196,"dmp"
"grade schooler",2019,2013,6.5,193,220,"dmp"
"riptide",2019,2012,7.5,209,205,"dmp"
"hillbilly jim",2020,2013,7.5,195,206,"dmp"
"grade schooler",2020,2013,7.5,174,237,"dmp"
"milkman",2021,2017,4.5,167,168,"dmp"
"headache",2021,2016,5.5,184,191,"dmp"
"90-2017-0-785",2020,2017,3.5,149,NA,"ey"
"90-2016-0-659",2020,2016,4.5,177,NA,"ey"
"90-2019-0-977",2020,2019,1.5,132,NA,"ey"
"90-2007-0-049",2016,2007,9.5,206,NA,"ey"
"90-2008-0-040",2014,2008,6.5,227,NA,"ey"
"90-2015-0-562",2021,2015,6.5,229,NA,"ey"
"90-2020-0-2090",2021,2020,1.5,102,NA,"ey"
"90-2020-0-2092",2021,2020,1.5,80,12.75,"ey"
"90-2008-0-039",2009,2008,1.5,116,15.5,"ey"
"90-2011-0-354",2012,2011,1.5,103,16.5,"ey"
"90-2014-0-473",2015,2014,1.5,98,16.5,"ey"
"90-2007-0-039",2008,2007,1.5,119,17.375,"ey"
"90-2020-0-2087",2021,2020,1.5,112,18.625,"ey"
"90-2007-0-024",2008,2007,1.5,127,19.875,"ey"
"90-2013-0-289",2014,2013,1.5,115,20.5,"ey"
"90-2020-0-2086",2021,2020,1.5,100,22,"ey"
"90-2017-0-785",2018,2017,1.5,80,22.625,"ey"
"90-2019-0-987",2020,2019,1.5,103,23.125,"ey"
"90-2012-0-326",2013,2012,1.5,102,23.25,"ey"
"90-2007-0-031",2008,2007,1.5,130,23.5,"ey"
"90-2020-0-2089",2021,2020,1.5,89,23.75,"ey"
"90-2014-0-463",2015,2014,1.5,112,24.5,"ey"
"90-2007-0-019",2008,2007,1.5,102,25.375,"ey"
"90-2014-0-462",2015,2014,1.5,109,25.875,"ey"
"90-2013-0-281",2014,2013,1.5,103,26.625,"ey"
"90-2014-0-470",2015,2014,1.5,96,28.75,"ey"
"90-2019-0-978",2020,2019,1.5,119,29.25,"ey"
"90-2011-0-369",2012,2011,1.5,130,29,"ey"
"90-2015-0-568",2016,2015,1.5,107,29.125,"ey"
"90-2016-0-669",2017,2016,1.5,105,29.25,"ey"
"90-2020-0-2078",2021,2020,1.5,105,29.25,"ey"
"90-2020-0-2081",2021,2020,1.5,87,29.25,"ey"
"90-2013-0-279",2014,2013,1.5,111,30,"ey"
"90-2014-0-457",2015,2014,1.5,120,30.125,"ey"
"90-2020-0-2082",2021,2020,1.5,101,30.125,"ey"
"90-2007-0-016",2008,2007,1.5,111,31.25,"ey"
"90-2019-0-981",2020,2019,1.5,101,31.625,"ey"
"90-2007-0-038",2008,2007,1.5,119,31.625,"ey"
"90-2018-0-857",2019,2018,1.5,126,32,"ey"
"90-2018-0-861",2019,2018,1.5,108,31.75,"ey"
"90-2009-0-056",2010,2009,1.5,105,32.125,"ey"
"90-2013-0-278",2014,2013,1.5,118,32.125,"ey"
"90-2011-0-357",2012,2011,1.5,85,33,"ey"
"90-2012-0-347",2013,2012,1.5,108,33.25,"ey"
"90-2012-0-350",2013,2012,1.5,115,33.125,"ey"
"90-2018-0-858",2019,2018,1.5,123,33,"ey"
"90-2019-0-979",2020,2019,1.5,98,35.5,"ey"
"90-2011-0-355",2012,2011,1.5,119,35.375,"ey"
"90-2013-0-286",2014,2013,1.5,115,35.75,"ey"
"90-2011-0-362",2012,2011,1.5,129,36.25,"ey"
"90-2017-0-780",2018,2017,1.5,104,36.25,"ey"
"90-2007-0-040",2008,2007,1.5,151,36.75,"ey"
"90-2010-0-101",2011,2010,1.5,97,36.5,"ey"
"90-2016-0-667",2017,2016,1.5,101,37,"ey"
"90-2017-0-778",2018,2017,1.5,91,37.5,"ey"
"90-2019-0-985",2020,2019,1.5,110,37.75,"ey"
"90-2012-0-349",2013,2012,1.5,107,38.75,"ey"
"90-2015-0-581",2016,2015,1.5,92,38.625,"ey"
"90-2015-0-559",2016,2015,1.5,124,39.125,"ey"
"90-2020-0-2076",2021,2020,1.5,106,39.25,"ey"
"90-2007-0-046",2008,2007,1.5,139,40.25,"ey"
"90-2014-0-466",2015,2014,1.5,105,40.5,"ey"
"90-2015-0-572",2016,2015,1.5,109,40.375,"ey"
"90-2019-0-986",2020,2019,1.5,93,40.75,"ey"
"90-2011-0-351",2012,2011,1.5,118,41,"ey"
"90-2014-0-458",2015,2014,1.5,117,41,"ey"
"90-2017-0-777",2018,2017,1.5,94,41,"ey"
"90-2019-0-984",2020,2019,1.5,107,41.375,"ey"
"90-2015-0-574",2016,2015,1.5,103,41.75,"ey"
"90-2011-0-363",2012,2011,1.5,119,42,"ey"
"90-2008-0-040",2009,2008,1.5,110,42.375,"ey"
"90-2012-0-324",2013,2012,1.5,118,42.625,"ey"
"90-2015-0-570",2016,2015,1.5,100,42.625,"ey"
"90-2017-0-779",2018,2017,1.5,115,43,"ey"
"90-2017-0-784",2018,2017,1.5,121,42.75,"ey"
"90-2008-0-055",2009,2008,1.5,125,43.375,"ey"
"90-2017-0-787",2018,2017,1.5,116,43.125,"ey"
"90-2016-0-659",2017,2016,1.5,110,43.875,"ey"
"90-2007-0-048",2008,2007,1.5,140,44.25,"ey"
"90-2011-0-365",2012,2011,1.5,102,44.25,"ey"
"90-2016-0-664",2017,2016,1.5,96,44.125,"ey"
"90-2011-0-367",2012,2011,1.5,123,44.375,"ey"
"90-2009-0-063",2010,2009,1.5,122,44.875,"ey"
"90-2012-0-321",2013,2012,1.5,117,44.875,"ey"
"90-2014-0-468",2015,2014,1.5,103,45,"ey"
"90-2018-0-853",2019,2018,1.5,123,45,"ey"
"90-2017-0-782",2018,2017,1.5,119,45.625,"ey"
"90-2007-0-032",2008,2007,1.5,136,46,"ey"
"90-2009-0-068",2010,2009,1.5,115,45.875,"ey"
"90-2012-0-328",2013,2012,1.5,108,46.125,"ey"
"90-2015-0-579",2016,2015,1.5,110,46,"ey"
"90-2018-0-854",2019,2018,1.5,115,46.25,"ey"
"90-2012-0-329",2013,2012,1.5,131,46.75,"ey"
"90-2016-0-661",2017,2016,1.5,103,47,"ey"
"90-2018-0-860",2019,2018,1.5,96,46.75,"ey"
"90-2020-0-2091",2021,2020,1.5,104,47,"ey"
"90-2009-0-064",2010,2009,1.5,126,47.125,"ey"
"90-2015-0-576",2016,2015,1.5,115,47.25,"ey"
"90-2016-0-658",2017,2016,1.5,116,47.25,"ey"
"90-2020-0-2079",2021,2020,1.5,102,47.125,"ey"
"90-2014-0-469",2015,2014,1.5,99,47.625,"ey"
"90-2008-0-054",2009,2008,1.5,121,48,"ey"
"90-2014-0-464",2015,2014,1.5,121,47.875,"ey"
"90-2015-0-564",2016,2015,1.5,146,47.875,"ey"
"90-2014-0-456",2015,2014,1.5,106,48.5,"ey"
"90-2019-0-983",2020,2019,1.5,106,49,"ey"
"90-2012-0-348",2013,2012,1.5,126,48.625,"ey"
"90-2013-0-275",2014,2013,1.5,102,49,"ey"
"90-2015-0-562",2016,2015,1.5,107,49,"ey"
"90-2018-0-851",2019,2018,1.5,119,48.625,"ey"
"90-2019-0-982",2020,2019,1.5,117,49.25,"ey"
"90-2015-0-569",2016,2015,1.5,98,49.125,"ey"
"90-2019-0-975",2020,2019,1.5,113,49.75,"ey"
"90-2008-0-059",2009,2008,1.5,115,49.75,"ey"
"90-2009-0-057",2010,2009,1.5,123,49.75,"ey"
"90-2009-0-054",2010,2009,1.5,113,50,"ey"
"90-2014-0-460",2015,2014,1.5,108,50,"ey"
"90-2008-0-052",2009,2008,1.5,113,50.375,"ey"
"90-2011-0-360",2012,2011,1.5,104,50.25,"ey"
"90-2016-0-670",2017,2016,1.5,110,50.25,"ey"
"90-2017-0-783",2018,2017,1.5,102,50.375,"ey"
"90-2008-0-056",2009,2008,1.5,116,50.75,"ey"
"90-2011-0-368",2012,2011,1.5,114,50.875,"ey"
"90-2013-0-288",2014,2013,1.5,111,50.75,"ey"
"90-2014-0-474",2015,2014,1.5,106,50.625,"ey"
"90-2020-0-2080",2021,2020,1.5,116,50.625,"ey"
"90-2011-0-357",2013,2011,2.5,128,51.625,"ey"
"90-2017-0-776",2018,2017,1.5,102,52.125,"ey"
"90-2018-0-859",2019,2018,1.5,123,53.25,"ey"
"90-2008-0-032",2009,2008,1.5,125,54,"ey"
"90-2009-0-059",2010,2009,1.5,123,53.875,"ey"
"90-2014-0-459",2016,2014,2.5,140,54,"ey"
"90-2013-0-283",2014,2013,1.5,128,54.5,"ey"
"90-2015-0-566",2016,2015,1.5,113,54.375,"ey"
"90-2008-0-041",2009,2008,1.5,111,55.5,"ey"
"90-2014-0-473",2016,2014,2.5,118,55.5,"ey"
"90-2013-0-292",2014,2013,1.5,103,56,"ey"
"90-2011-0-358",2012,2011,1.5,119,56.625,"ey"
"90-2009-0-066",2010,2009,1.5,137,57.125,"ey"
"90-2013-0-287",2014,2013,1.5,110,57,"ey"
"90-2007-0-036",2008,2007,1.5,150,57.375,"ey"
"90-2008-0-042",2009,2008,1.5,121,57.5,"ey"
"90-2019-0-976",2021,2019,2.5,112,57.375,"ey"
"90-2016-0-666",2017,2016,1.5,111,57.75,"ey"
"90-2011-0-352",2012,2011,1.5,99,59.125,"ey"
"90-2013-0-278",2015,2013,2.5,150,59.25,"ey"
"90-2015-0-571",2017,2015,2.5,129,59.125,"ey"
"90-2015-0-563",2016,2015,1.5,116,59.5,"ey"
"90-2020-0-2084",2021,2020,1.5,109,59.375,"ey"
"90-2009-0-058",2010,2009,1.5,126,59.875,"ey"
"90-2008-0-057",2009,2008,1.5,121,60.125,"ey"
"90-2010-0-103",2011,2010,1.5,104,60.375,"ey"
"90-2008-0-034",2009,2008,1.5,132,61.25,"ey"
"90-2008-0-037",2009,2008,1.5,129,62,"ey"
"90-2010-0-114",2011,2010,1.5,107,61.625,"ey"
"90-2010-0-113",2011,2010,1.5,107,62.375,"ey"
"90-2012-0-346",2013,2012,1.5,121,62.25,"ey"
"90-2019-0-980",2020,2019,1.5,104,62.75,"ey"
"90-2011-0-356",2012,2011,1.5,116,62.75,"ey"
"90-2012-0-319",2013,2012,1.5,115,62.75,"ey"
"90-2014-0-465",2015,2014,1.5,109,62.5,"ey"
"90-2014-0-470",2016,2014,2.5,112,63.875,"ey"
"90-2009-0-067",2010,2009,1.5,132,64,"ey"
"90-2013-0-280",2014,2013,1.5,138,64.375,"ey"
"90-2018-0-852",2019,2018,1.5,115,64.75,"ey"
"90-2012-0-001",2014,2012,2.5,133,65.5,"ey"
"90-2008-0-033",2009,2008,1.5,114,65.75,"ey"
"90-2013-0-276",2014,2013,1.5,130,65.75,"ey"
"90-2018-0-860",2020,2018,2.5,115,68.5,"ey"
"90-2016-0-662",2017,2016,1.5,102,68.75,"ey"
"90-2013-0-289",2015,2013,2.5,153,69.25,"ey"
"90-2007-0-024",2009,2007,2.5,155,69.875,"ey"
"90-2009-0-051",2010,2009,1.5,125,70.25,"ey"
"90-2010-0-111",2011,2010,1.5,102,70.125,"ey"
"90-2013-0-274",2014,2013,1.5,126,70.875,"ey"
"90-2009-0-060",2010,2009,1.5,135,71.25,"ey"
"90-2009-0-069",2010,2009,1.5,117,71.125,"ey"
"90-2011-0-355",2013,2011,2.5,156,71.75,"ey"
"90-2011-0-357",2014,2011,3.5,139,72,"ey"
"90-2011-0-362",2013,2011,2.5,173,72.25,"ey"
"90-2013-0-282",2014,2013,1.5,130,72.625,"ey"
"90-2019-0-986",2021,2019,2.5,118,72.25,"ey"
"90-2007-0-029",2008,2007,1.5,150,73.25,"ey"
"90-2011-0-354",2013,2011,2.5,146,73.375,"ey"
"90-2015-0-570",2017,2015,2.5,124,73.375,"ey"
"90-2016-0-663",2018,2016,2.5,145,73.75,"ey"
"90-2015-0-559",2017,2015,2.5,143,74,"ey"
"90-2010-0-108",2011,2010,1.5,129,74.5,"ey"
"90-2015-0-578",2016,2015,1.5,99,74.625,"ey"
"90-2019-0-987",2021,2019,2.5,142,76,"ey"
"90-2016-0-661",2018,2016,2.5,129,76.625,"ey"
"90-2018-0-855",2019,2018,1.5,126,76.75,"ey"
"90-2017-0-784",2019,2017,2.5,145,77,"ey"
"90-2017-0-786",2018,2017,1.5,97,77.125,"ey"
"90-2018-0-856",2020,2018,2.5,160,77.375,"ey"
"90-2010-0-115",2012,2010,2.5,163,77.875,"ey"
"90-2009-0-057",2011,2009,2.5,148,78.75,"ey"
"90-2009-0-064",2011,2009,2.5,139,78.625,"ey"
"90-2012-0-326",2014,2012,2.5,137,78.875,"ey"
"90-2015-0-580",2017,2015,2.5,116,78.875,"ey"
"90-2017-0-777",2019,2017,2.5,150,78.625,"ey"
"90-2014-0-469",2016,2014,2.5,123,79.5,"ey"
"90-2017-0-785",2019,2017,2.5,123,79.375,"ey"
"90-2007-0-016",2009,2007,2.5,140,79.875,"ey"
"90-2007-0-040",2009,2007,2.5,143,80,"ey"
"90-2009-0-062",2010,2009,1.5,123,79.875,"ey"
"90-2007-0-039",2009,2007,2.5,152,80.125,"ey"
"90-2014-0-463",2016,2014,2.5,139,80.5,"ey"
"90-2007-0-031",2009,2007,2.5,156,80.75,"ey"
"90-2010-0-110",2011,2010,1.5,123,81,"ey"
"90-2013-0-279",2015,2013,2.5,136,81.625,"ey"
"90-2016-0-659",2018,2016,2.5,129,81.5,"ey"
"90-2018-0-861",2020,2018,2.5,131,81.75,"ey"
"90-2011-0-357",2015,2011,4.5,129,82,"ey"
"90-2019-0-983",2021,2019,2.5,136,81.875,"ey"
"90-2011-0-363",2013,2011,2.5,149,82.375,"ey"
"90-2016-0-667",2018,2016,2.5,142,82.25,"ey"
"90-2017-0-778",2019,2017,2.5,127,82.375,"ey"
"90-2013-0-290",2016,2013,3.5,151,82.625,"ey"
"90-2014-0-459",2017,2014,3.5,165,82.625,"ey"
"90-2015-0-581",2017,2015,2.5,131,82.5,"ey"
"90-2018-0-854",2020,2018,2.5,138,83,"ey"
"90-2009-0-068",2011,2009,2.5,136,83.125,"ey"
"90-2011-0-365",2013,2011,2.5,132,83,"ey"
"90-2013-0-275",2015,2013,2.5,131,83.125,"ey"
"90-2016-0-670",2018,2016,2.5,130,82.875,"ey"
"90-2011-0-357",2016,2011,5.5,128,84,"ey"
"90-2015-0-574",2017,2015,2.5,124,83.75,"ey"
"90-2013-0-286",2015,2013,2.5,144,84.125,"ey"
"90-2014-0-468",2016,2014,2.5,130,84.375,"ey"
"90-2015-0-571",2018,2015,3.5,174,84.25,"ey"
"90-2011-0-370",2013,2011,2.5,168,84.5,"ey"
"90-2007-0-038",2010,2007,3.5,189,85,"ey"
"90-2016-0-666",2018,2016,2.5,139,84.875,"ey"
"90-2017-0-779",2019,2017,2.5,155,85.125,"ey"
"90-2008-0-041",2010,2008,2.5,160,85.5,"ey"
"90-2010-0-106",2012,2010,2.5,124,85.875,"ey"
"90-2008-0-058",2010,2008,2.5,160,86.25,"ey"
"90-2009-0-063",2011,2009,2.5,142,86.125,"ey"
"90-2019-0-979",2021,2019,2.5,128,86.25,"ey"
"90-2012-0-347",2014,2012,2.5,139,86.875,"ey"
"90-2015-0-577",2017,2015,2.5,136,86.875,"ey"
"90-2016-0-658",2018,2016,2.5,158,87,"ey"
"90-2018-0-857",2020,2018,2.5,156,87.25,"ey"
"90-2012-0-350",2014,2012,2.5,152,87.25,"ey"
"90-2009-0-052",2011,2009,2.5,175,87.625,"ey"
"90-2009-0-059",2011,2009,2.5,141,87.75,"ey"
"90-2015-0-570",2018,2015,3.5,154,87.625,"ey"
"90-2019-0-985",2021,2019,2.5,159,87.875,"ey"
"90-2008-0-055",2010,2008,2.5,163,88.125,"ey"
"90-2018-0-859",2020,2018,2.5,159,88.625,"ey"
"90-2009-0-067",2011,2009,2.5,157,89.25,"ey"
"90-2019-0-981",2021,2019,2.5,125,89.25,"ey"
"90-2007-0-038",2011,2007,4.5,199,89.75,"ey"
"90-2012-0-001",2016,2012,4.5,135,89.75,"ey"
"90-2013-0-285",2015,2013,2.5,156,89.625,"ey"
"90-2009-0-054",2011,2009,2.5,135,90.5,"ey"
"90-2016-0-665",2018,2016,2.5,119,90.5,"ey"
"90-2008-0-056",2010,2008,2.5,150,91,"ey"
"90-2017-0-787",2019,2017,2.5,164,91,"ey"
"90-2007-0-036",2009,2007,2.5,185,91.375,"ey"
"90-2012-0-324",2014,2012,2.5,158,91.5,"ey"
"90-2011-0-351",2013,2011,2.5,156,91.625,"ey"
"90-2011-0-357",2017,2011,6.5,142,91.75,"ey"
"90-2016-0-669",2018,2016,2.5,134,92.25,"ey"
"90-2010-0-107",2012,2010,2.5,151,92.5,"ey"
"90-2012-0-321",2014,2012,2.5,154,92.375,"ey"
"90-2012-0-325",2014,2012,2.5,162,92.625,"ey"
"90-2007-0-048",2009,2007,2.5,169,92.75,"ey"
"90-2014-0-473",2017,2014,3.5,91,92.75,"ey"
"90-2009-0-053",2011,2009,2.5,141,93.125,"ey"
"90-2010-0-109",2012,2010,2.5,152,93.5,"ey"
"90-2015-0-559",2018,2015,3.5,163,93.5,"ey"
"90-2015-0-572",2017,2015,2.5,138,93.375,"ey"
"90-2017-0-780",2019,2017,2.5,141,93.25,"ey"
"90-2018-0-852",2020,2018,2.5,142,94.125,"ey"
"90-2008-0-040",2011,2008,3.5,175,94.5,"ey"
"90-2019-0-982",2021,2019,2.5,151,94.375,"ey"
"90-2010-0-101",2012,2010,2.5,141,94.875,"ey"
"90-2013-0-283",2015,2013,2.5,169,95,"ey"
"90-2015-0-571",2019,2015,4.5,201,95,"ey"
"90-2017-0-777",2020,2017,3.5,165,95.375,"ey"
"90-2011-0-363",2014,2011,3.5,185,95.25,"ey"
"90-2016-0-664",2018,2016,2.5,119,95.375,"ey"
"90-2007-0-032",2009,2007,2.5,175,95.75,"ey"
"90-2013-0-292",2015,2013,2.5,126,95.75,"ey"
"90-2014-0-467",2016,2014,2.5,139,95.625,"ey"
"90-2008-0-040",2010,2008,2.5,169,96.125,"ey"
"90-2010-0-102",2012,2010,2.5,138,96.25,"ey"
"90-2010-0-115",2013,2010,3.5,176,96.25,"ey"
"90-2015-0-562",2017,2015,2.5,145,96.125,"ey"
"90-2008-0-054",2010,2008,2.5,171,96.375,"ey"
"90-2019-0-978",2021,2019,2.5,161,96.625,"ey"
"90-2008-0-039",2011,2008,3.5,173,96.75,"ey"
"90-2011-0-368",2013,2011,2.5,144,96.75,"ey"
"90-2012-0-348",2014,2012,2.5,161,97,"ey"
"90-2018-0-854",2021,2018,3.5,176,96.75,"ey"
"90-2015-0-571",2020,2015,5.5,214,97.125,"ey"
"90-2014-0-458",2016,2014,2.5,143,97.125,"ey"
"90-2017-0-778",2020,2017,3.5,148,97.75,"ey"
"90-2018-0-853",2020,2018,2.5,153,98,"ey"
"90-2009-0-058",2011,2009,2.5,145,97.875,"ey"
"90-2014-0-466",2016,2014,2.5,119,98,"ey"
"90-2017-0-784",2020,2017,3.5,188,98.625,"ey"
"90-2008-0-052",2010,2008,2.5,154,99,"ey"
"90-2011-0-355",2014,2011,3.5,177,98.625,"ey"
"90-2012-0-001",2015,2012,3.5,152,98.875,"ey"
"90-2013-0-288",2015,2013,2.5,142,99,"ey"
"90-2015-0-581",2018,2015,3.5,156,99,"ey"
"90-2017-0-781",2018,2017,1.5,108,99,"ey"
"90-2010-0-112",2012,2010,2.5,152,99.25,"ey"
"90-2014-0-456",2016,2014,2.5,141,99.125,"ey"
"90-2016-0-671",2018,2016,2.5,128,99.125,"ey"
"90-2013-0-289",2016,2013,3.5,152,99.5,"ey"
"90-2016-0-663",2019,2016,3.5,178,99.5,"ey"
"90-2011-0-362",2014,2011,3.5,192,99.875,"ey"
"90-2015-0-570",2019,2015,4.5,182,99.875,"ey"
"90-2015-0-571",2021,2015,6.5,208,100,"ey"
"90-2014-0-472",2016,2014,2.5,128,100.375,"ey"
"90-2017-0-782",2019,2017,2.5,146,100.25,"ey"
"90-2015-0-563",2017,2015,2.5,150,100.75,"ey"
"90-2018-0-860",2021,2018,3.5,137,100.75,"ey"
"90-2009-0-067",2020,2009,11.5,163,101.125,"ey"
