year,past_cap,sex,age,weight,bcs,,name,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,3.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,2.5,,,,,,,,,,,
2006,S.E.Toro,F,3.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,2.5,,,,,,,,,,,
2006,S.E.Toro,F,2.5,,,,,,,,,,,
2006,S.E.Toro,F,2.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,3.5,,,,,,,,,,,
2006,S.E.Toro,F,2.5,,,,,,,,,,,
2006,S.E.Toro,F,3.5,,,,,,,,,,,
2006,S.E.Toro,F,3.5,,,,,,,,,,,
2006,S.E.Toro,F,3.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,2.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,3.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,3.5,,,,,,,,,,,
2006,S.E.Toro,F,4.5,,,,,,,,,,,
2006,S.E.Toro,F,3.5,,,,,,,,,,,
2006,S.E.Toro,F,3.5,,,,,,,,,,,
2006,S.E.Toro,F,5.5,,,,,,,,,,,
2006,S.E.Toro,F,5.5,,,,,,,,,,,
2006,S.E.Toro,F,7.5 +,,,,,,,,,,,
2006,S.E.Toro,F,6.5,,,,,,,,,,,
2006,S.E.Toro,F,1.5,,,,,,,,,,,
2006,S.E.Toro,F,5.5,,,,,,,,,,,
2006,S.E.Toro,F,5.5,,,,,,,,,,,
2006,W. Yana,M,5.5,,223,,the game,,,,,,,
2006,W. Yana,M,8.5,,176,,mcstedman,,,,,,,
2007,S.E. Toro,M,5.5,213,199,,vince young,,,,,,,
2007,S.E. Toro,M,5.5,212,191,,jr jr,,,,,,,
2007,S.E. Toro,F,3.5,109,,,,,,,,,,
2007,S.E. Toro,F,4.5,120,,,,,,,,,,
2007,S.E. Toro,F,4.5,121,,,,,,,,,,
2007,W. Yana,F,3.5,98,,,,,,,,,,
2007,S.E. Toro,F,4.5,120,,,,,,,,,,
2007,W. Yana,F,3.5,107,,,,,,,,,,
2007,S.E. Toro,F,4.5,118,,,,,,,,,,
2007,W. Yana,F,5.5,106,,,,,,,,,,
2007,W. Yana,F,5.5,97,,,,,,,,,,
2007,W. Yana,F,5.5,110,,,,,,,,,,
2007,W. Yana,F,3.5,98,,,,,,,,,,
2007,S.E. Toro,F,3.5,104,,,,,,,,,,
2007,W. Yana,F,4.5,109,,,,,,,,,,
2007,W. Yana,F,5.5,110,,,,,,,,,,
2007,W. Yana,F,5.5,122,,,,,,,,,,
2007,W. Yana,F,3.5,102,,,,,,,,,,
2007,W. Yana,F,5.5,115,,,,,,,,,,
2007,W. Yana,F,5.5,118,,,,,,,,,,
2007,W. Yana,F,5.5,129,,,,,,,,,,
2007,W. Yana,F,3.5,112,,,,,,,,,,
2007,W. Yana,F,4.5,100,,,,,,,,,,
2007,W. Yana,F,5.5,102,,,,,,,,,,
2007,W. Yana,F,4.5,120,,,,,,,,,,
2007,W. Yana,F,5.5,98,,,,,,,,,,
2007,W. Yana,F,5.5,119,,,,,,,,,,
2007,W. Yana,F,4.5,114,,,,,,,,,,
2007,W. Yana,F,3.5,101,,,,,,,,,,
2007,W. Yana,F,4.5,114,,,,,,,,,,
2007,W. Yana,F,4.5,94,,,,,,,,,,
2007,W. Yana,F,4.5,103,,,,,,,,,,
2008,W. Yana,M,5.5,210,227.5,,the game,,,,,,,
2008,W. Yana,M,5.5,206,187.125,,jr jr,,,,,,,
2008,W. Yana,F,4.5,115,,,,,,,,,,
2008,W. Yana,F,5.5,103,,,,,,,,,,
2008,W. Yana,F,5.5,121,,,,,,,,,,
2008,W. Yana,F,4.5,109,,,,,,,,,,
2008,W. Yana,F,5.5,113,,,,,,,,,,
2008,W. Yana,F,4.5,114,,,,,,,,,,
2008,W. Yana,F,5.5,108,,,,,,,,,,
2008,W. Yana,F,6.5,99,,,,,,,,,,
2008,W. Yana,F,6.5,115,,,,,,,,,,
2008,W. Yana,F,4.5,99,,,,,,,,,,
2008,W. Yana,F,4.5,103,,,,,,,,,,
2008,W. Yana,F,5.5,113,,,,,,,,,,
2008,W. Yana,F,6.5,135,,,,,,,,,,
2008,W. Yana,F,4.5,112,,,,,,,,,,
2008,W. Yana,F,6.5,121,,,,,,,,,,
2008,W. Yana,F,4.5,107,,,,,,,,,,
2008,W. Yana,F,5.5,113,,,,,,,,,,
2008,W. Yana,F,6.5,105,,,,,,,,,,
2008,W. Yana,F,5.5,127,,,,,,,,,,
2008,W. Yana,F,6.5,93,,,,,,,,,,
2008,W. Yana,F,6.5,120,,,,,,,,,,
2008,W. Yana,F,5.5,132,,,,,,,,,,
2008,W. Yana,F,4.5,109,,,,,,,,,,
2008,W. Yana,F,5.5,114,,,,,,,,,,
2008,W. Yana,F,5.5,98,,,,,,,,,,
2008,W. Yana,F,5.5,101,,,,,,,,,,
2008,W. Yana,F,5.5,111,,,,,,,,,,
2008,W. Yana,F,6.5,124,,,,,,,,,,
2008,S.E. Toro,F,4.5,118,,,,,,,,,,
2009,W Yana,M,7.5,192,192,,,,,,,,,
2009,W Yana,F,7.5,106,,,,,,,,,,
2009,W Yana,F,7.5,113,,,,,,,,,,
2009,W Yana,F,6.5,115,,,,,,,,,,
2009,W Yana,F,6.5,121,,,,,,,,,,
2009,W Yana,F,7.5,91,,,,,,,,,,
2009,W Yana,F,6.5,129,,,,,,,,,,
2009,W Yana,F,5.5,112,,,,,,,,,,
2009,W Yana,F,6.5,115,,,,,,,,,,
2009,W Yana,F,7.5,118,,,,,,,,,,
2009,W Yana,F,7.5,116,,,,,,,,,,
2009,W Yana,F,7.5,130,,,,,,,,,,
2009,W Yana,F,6.5,100,,,,,,,,,,
2009,SE Toro,F,5.5,80,,,,,,,,,,
2009,SE Toro,F,4.5,113,,,,,,,,,,
2009,W Yana,M,8.5,206,194,,,,,,,,,
2009,W Yana,F,5.5,109,,,,,,,,,,
2009,W Yana,F,5.5,100,,,,,,,,,,
2009,W Yana,F,6.5,107,,,,,,,,,,
2009,W Yana,F,5.5,103,,,,,,,,,,
2009,W Yana,F,5.5,106,,,,,,,,,,
2009,W Yana,F,6.5,120,,,,,,,,,,
2009,W Yana,F,5.5,118,,,,,,,,,,
2009,SE Toro,F,6.5,109,,,,,,,,,,
2009,SE Toro,F,2.5,102,,,,,,,,,,
2009,SE Toro,F,5.5,112,,,,,,,,,,
2009,SE Toro,F,2.5,96,,,,,,,,,,
2009,SE Toro,F,3.5,108,,,,,,,,,,
2009,SE Toro,F,6.5,116,,,,,,,,,,
2009,SE Toro,F,3.5,118,,,,,,,,,,
2009,SE Toro,F,4.5,118,,,,,,,,,,
2010,W Yana,M,3.5,208,155,,true grit,,,,,,,
2010,W Yana,F,5.5,112,,,,,,,,,,
2010,W Yana,F,4.5,120,,,,,,,,,,
2010,W Yana,F,6.5,144,,,,,,,,,,
2010,W Yana,F,3.5,108,,,,,,,,,,
2010,W Yana,F,7.5,124,,,,,,,,,,
2010,W Yana,F,5.5,112,,,,,,,,,,
2010,W Yana,F,5.5,116,,,,,,,,,,
2010,W Yana,F,6.5,118,,,,,,,,,,
2010,W Yana,F,7.5,103,,,,,,,,,,
2010,W Yana,F,5.5,119,,,,,,,,,,
2010,W Yana,F,2.5,117,,,,,,,,,,
2010,W Yana,F,5.5,118,,,,,,,,,,
2010,W Yana,F,6.5,129,,,,,,,,,,
2010,W Yana,F,2.5,108,,,,,,,,,,
2010,W Yana,F,2.5,106,,,,,,,,,,
2010,W Yana,M,3.5,164,151,,the duke,,,,,,,
2010,W Yana,F,6.5,120,,,,,,,,,,
2010,W Yana,F,6.5,109,,,,,,,,,,
2010,W Yana,F,5.5,97,,,,,,,,,,
2010,W Yana,F,5.5,121,,,,,,,,,,
2010,W Yana,F,3.5,120,,,,,,,,,,
2010,W Yana,F,3.5,129,,,,,,,,,,
2010,W Yana,F,2.5,109,,,,,,,,,,
2010,W Yana,F,2.5,91,,,,,,,,,,
2010,W Yana,F,2.5,107,,,,,,,,,,
2010,W Yana,F,1.5,106,,,,,,,,,,
2010,W Yana,F,1.5,99,,,,,,,,,,
2010,W Yana,F,4.5,106,,,,,,,,,,
2010,W Yana,F,6.5,118,,,,,,,,,,
2010,W Yana,F,4.5,113,,,,,,,,,,
2010,W Yana,F,3.5,130,,,,,,,,,,
2011,W Yana,M,3.5,161,151,,,,,,,,,
2011,W Yana,F,7.5,111,,,,,,,,,,
2011,W Yana,F,8.5,116,,,,,,,,,,
2011,W Yana,F,7.5,107,,,,,,,,,,
2011,W Yana,F,8.5,107,,,,,,,,,,
2011,W Yana,F,8.5,94,,,,,,,,,,
2011,W Yana,F,6.5,120,,,,,,,,,,
2011,W Yana,F,9.5,68,,,,,,,,,,
2011,W Yana,F,8.5,117,,,,,,,,,,
2011,W Yana,F,2.5,118,,,,,,,,,,
2011,W Yana,F,8.5,118,,,,,,,,,,
2011,W Yana,F,6.5,108,,,,,,,,,,
2011,W Yana,F,3.5,112,,,,,,,,,,
2011,W Yana,F,6.5,113,,,,,,,,,,
2011,W Yana,F,7.5,110,,,,,,,,,,
2011,W Yana,F,3.5,84,,,,,,,,,,
2011,W Yana,M,4.5,202,162,,,,,,,,,
2011,W Yana,F,7.5,87,,,,,,,,,,
2011,W Yana,F,4.5,113,,,,,,,,,,
2011,W Yana,F,6.5,109,,,,,,,,,,
2011,W Yana,F,4.5,135,,,,,,,,,,
2011,W Yana,F,3.5,104,,,,,,,,,,
2011,W Yana,F,4.5,126,,,,,,,,,,
2011,W Yana,F,3.5,127,,,,,,,,,,
2011,W Yana,F,7.5,103,,,,,,,,,,
2011,W Yana,F,6.5,122,,,,,,,,,,
2011,W Yana,F,9.5,119,,,,,,,,,,
2011,W Yana,F,8.5,117,,,,,,,,,,
2011,W Yana,F,7.5,109,,,,,,,,,,
2011,W Yana,F,3.5,108,,,,,,,,,,
2011,W Yana,F,5.5,120,,,,,,,,,,
2011,W Yana,F,1.5,67,,,,,,,,,,
2011,W Yana,F,1.5,105,,,,,,,,,,
2012,W Yana,M,4.5,178,174,,high hopes,,,,,,,
2012,W Yana,F,4.5,110,,,,,,,,,,
2012,W Yana,F,3.5,111,,,,,,,,,,
2012,W Yana,F,4.5,117,,,,,,,,,,
2012,W Yana,F,3.5,100,,,,,,,,,,
2012,W Yana,F,3.5,142,,,,,,,,,,
2012,W Yana,F,3.5,110,,,,,,,,,,
2012,W Yana,F,3.5,126,,,,,,,,,,
2012,W Yana,F,4.5,114,,,,,,,,,,
2012,W Yana,F,2.5,105,,,,,,,,,,
2012,W Yana,F,2.5,98,,,,,,,,,,
2012,W Yana,F,1.5,92,,,,,,,,,,
2012,W Yana,F,4.5,119,,,,,,,,,,
2012,W Yana,F,1.5,95,,,,,,,,,,
2012,W Yana,F,7.5,108,,,,,,,,,,
2012,W Yana,F,1.5,95,,,,,,,,,,
2012,W Yana,M,5.5,214,176,,the duke,,,,,,,
2012,W Yana,F,2.5,107,,,,,,,,,,
2012,W Yana,F,2.5,106,,,,,,,,,,
2012,W Yana,F,2.5,,,,,,,,,,,
2012,W Yana,F,2.5,111,,,,,,,,,,
2012,W Yana,F,4.5,103,,,,,,,,,,
2012,W Yana,F,4.5,116,,,,,,,,,,
2012,W Yana,F,4.5,106,,,,,,,,,,
2012,W Yana,F,2.5,98,,,,,,,,,,
2012,W Yana,F,2.5,110,,,,,,,,,,
2012,W Yana,F,3.5,109,,,,,,,,,,
2012,W Yana,F,3.5,107,,,,,,,,,,
2012,W Yana,F,2.5,104,,,,,,,,,,
2012,W Yana,F,5.5,118,,,,,,,,,,
2012,W Yana,F,5.5,118,,,,,,,,,,
2012,W Yana,F,3.5,110,,,,,,,,,,
2012,W Yana,F,1.5,91,,,,,,,,,,
2012,W Yana,F,1.5,101,,,,,,,,,,
2012,W Yana,F,1.5,104,,,,,,,,,,
2012,W Yana,F,1.5,103,,,,,,,,,,
2012,W Yana,F,1.5,107,,,,,,,,,,
2013,W Yana,M,5.5,186,171,,,,,,,,,
2013,W Yana,F,4.5,138,,,,,,,,,,
2013,W Yana,F,6.5,116,,,,,,,,,,
2013,W Yana,F,4.5,114,,,,,,,,,,
2013,W Yana,F,3.5,107,,,,,,,,,,
2013,W Yana,F,5.5,118,,,,,,,,,,
2013,W Yana,F,5.5,115,,,,,,,,,,
2013,W Yana,F,3.5,110,,,,,,,,,,
2013,W Yana,F,3.5,117,,,,,,,,,,
2013,W Yana,F,5.5,115,,,,,,,,,,
2013,W Yana,F,4.5,116,,,,,,,,,,
2013,W Yana,F,2.5,110,,,,,,,,,,
2013,W Yana,F,4.5,97,,,,,,,,,,
2013,W Yana,F,2.5,104,,,,,,,,,,
2013,W Yana,F,8.5+,109,,,,,,,,,,
2013,W Yana,F,5.5,122,,,,,,,,,,
2013,W Yana,M,5.5,193,189,,,,,,,,,
2013,W Yana,F,3.5,100,,,,,,,,,,
2013,W Yana,F,6.5,128,,,,,,,,,,
2013,W Yana,F,3.5,117,,,,,,,,,,
2013,W Yana,F,8.5,157,,,,,,,,,,
2013,W Yana,F,3.5,111,,,,,,,,,,
2013,W Yana,F,8.5+,109,,,,,,,,,,
2013,W Yana,F,8.5+,117,,,,,,,,,,
2013,W Yana,F,3.5,94,,,,,,,,,,
2013,W Yana,F,4.5,107,,,,,,,,,,
2013,W Yana,F,5.5,112,,,,,,,,,,
2013,W Yana,F,8.5+,101,,,,,,,,,,
2013,W Yana,F,4.5,107,,,,,,,,,,
2013,W Yana,F,3.5,115,,,,,,,,,,
2013,W Yana,F,2.5,113,,,,,,,,,,
2013,W Yana,F,8.5+,115,,,,,,,,,,
2013,W Yana,F,1.5,92,,,,,,,,,,
