year,past_cap,sex,age,weight,bcs,,name,,,,,,,
2013,W Yana,F,1.5,102,,,,,,,,,,
2013,W Yana,F,1.5,94,,,,,,,,,,
2013,W Yana,F,1.5,97,,,,,,,,,,
2013,W Yana,F,1.5,95,,,,,,,,,,
2014,W Yana,M,6.5,,196,,up out and back,,,,,,,
2014,W Yana,F,2.5,123,,,,,,,,,,
2014,W Yana,F,2.5,119,,,,,,,,,,
2014,W Yana,F,2.5,109,,,,,,,,,,
2014,W Yana,F,6.5,112,,,,,,,,,,
2014,W Yana,F,5.5,142,,,,,,,,,,
2014,W Yana,F,6.5,111,,,,,,,,,,
2014,W Yana,F,3.5,118,,,,,,,,,,
2014,W Yana,F,4.5,103,,,,,,,,,,
2014,W Yana,F,4.5,104,,,,,,,,,,
2014,W Yana,F,3.5,113,,,,,,,,,,
2014,W Yana,F,2.5,97,,,,,,,,,,
2014,W Yana,F,6.5,106,,,,,,,,,,
2014,W Yana,F,6.5,111,,,,,,,,,,
2014,W Yana,F,7.5,121,,,,,,,,,,
2014,W Yana,F,N/A,127,,,,,,,,,,
2014,W Yana,M,5.5,,270-2010-01-23,,my dads a hoe,,,,,,,
2014,W Yana,F,7.5,114,,,,,,,,,,
2014,W Yana,F,4.5,92,,,,,,,,,,
2014,W Yana,F,5.5,127,,,,,,,,,,
2014,W Yana,F,2.5,90,,,,,,,,,,
2014,W Yana,F,3.5,112,,,,,,,,,,
2014,W Yana,F,6.5,121,,,,,,,,,,
2014,W Yana,F,5.5,119,,,,,,,,,,
2014,W Yana,F,5.5,112,,,,,,,,,,
2014,W Yana,F,2.5,94,,,,,,,,,,
2014,W Yana,F,5.5,124,,,,,,,,,,
2014,W Yana,F,3.5,103,,,,,,,,,,
2014,W Yana,F,4.5,107,,,,,,,,,,
2014,W Yana,F,4.5,126,,,,,,,,,,
2014,W Yana,F,4.5,102,,,,,,,,,,
2014,W Yana,F,3.5,115,,,,,,,,,,
2015,W Yana,M,6.5,196,200,,cowboy,,,,,,,
2015,W Yana,F,6.5,122,,,,,,,,,,
2015,W Yana,F,6.5,107,,,,,,,,,,
2015,W Yana,F,5.5,109,,,,,,,,,,
2015,W Yana,F,4.5,106,,,,,,,,,,
2015,W Yana,F,5.5,108,,,,,,,,,,
2015,W Yana,F,6.5,113,,,,,,,,,,
2015,W Yana,F,3.5,112,,,,,,,,,,
2015,W Yana,F,2.5,115,,,,,,,,,,
2015,W Yana,F,8.5+,96,,,,,,,,,,
2015,W Yana,F,2.5,88,,,,,,,,,,
2015,W Yana,F,5.5,105,,,,,,,,,,
2015,W Yana,F,7.5,112,,,,,,,,,,
2015,W Yana,F,5.5,97,,,,,,,,,,
2015,W Yana,F,6.5,110,,,,,,,,,,
2015,W Yana,F,4.5,114,,,,,,,,,,
2015,W Yana,M,6.5,197,213,,my dads a hoe,,,,,,,
2015,W Yana,F,4.5,110,,,,,,,,,,
2015,W Yana,F,2.5,77,,,,,,,,,,
2015,W Yana,F,3.5,109,,,,,,,,,,
2015,W Yana,F,3.5,112,,,,,,,,,,
2015,W Yana,F,8.5+,121,,,,,,,,,,
2015,W Yana,F,2.5,100,,,,,,,,,,
2015,W Yana,F,5.5,114,,,,,,,,,,
2015,W Yana,F,6.5,103,,,,,,,,,,
2015,W Yana,F,,111,,,,,,,,,,
2015,W Yana,F,4.5,111,,,,,,,,,,
2015,W Yana,F,2.5,94,,,,,,,,,,
2015,W Yana,F,8.5+,122,,,,,,,,,,
2015,W Yana,F,3.5,110,,,,,,,,,,
2015,W Yana,F,8.5+,104,,,,,,,,,,
2015,W Yana,F,8.5+,112,,,,,,,,,,
2016,W Yana,M,5.5,203,204,,this works,,,,,,,
2016,W Yana,F,5.5,120,,,,,,,,,,
2016,W Yana,F,4.5,128,,,,,,,,,,
2016,W Yana,F,2.5,96,,,,,,,,,,
2016,W Yana,F,7.5,138,,,,,,,,,,
2016,W Yana,F,2.5,102,,,,,,,,,,
2016,W Yana,F,5.5,100,,,,,,,,,,
2016,W Yana,F,3.5,90,,,,,,,,,,
2016,W Yana,F,2.5,99,,,,,,,,,,
2016,W Yana,F,2.5,93,,,,,,,,,,
2016,W Yana,F,4.5,106,,,,,,,,,,
2016,W Yana,F,7.5,105,,,,,,,,,,
2016,W Yana,F,2.5,105,,,,,,,,,,
2016,W Yana,F,8.5,115,,,,,,,,,,
2016,W Yana,F,2.5,105,,,,,,,,,,
2016,W Yana,F,6.5,120,,,,,,,,,,
2016,W Yana,M,5.5,164,207,,razor,,,,,,,
2016,W Yana,F,10.5,108,,,,,,,,,,
2016,W Yana,F,5.5,116,,,,,,,,,,
2016,W Yana,F,2.5,115,,,,,,,,,,
2016,W Yana,F,4.5,110,,,,,,,,,,
2016,W Yana,F,4.5,102,,,,,,,,,,
2016,W Yana,F,4.5,118,,,,,,,,,,
2016,W Yana,F,4.5,110,,,,,,,,,,
2016,W Yana,F,3.5,91,,,,,,,,,,
2016,W Yana,F,3.5,105,,,,,,,,,,
2016,W Yana,F,4.5,112,,,,,,,,,,
2016,W Yana,F,3.5,104,,,,,,,,,,
2016,W Yana,F,2.5,73,,,,,,,,,,
2016,W Yana,F,5.5,105,,,,,,,,,,
2016,W Yana,F,6.5,119,,,,,,,,,,
2016,W Yana,F,7.5,101,,,,,,,,,,
2016,W Yana,F,9.5+,122,,,,,,,,,,
2016,W Yana,F,8.5+,106,,,,,,,,,,
2016,W Yana,F,8.5+,108,,,,,,,,,,
2016,W Yana,F,8.5,122,,,,,,,,,,
2017,W Yana,M,4.5,195,218,,captain call,,,,,,,
2017,W Yana,F,7.5,101,,,,,,,,,,
2017,W Yana,F,6.5,106,,,,,,,,,,
2017,W Yana,F,6.5,99,,,,,,,,,,
2017,W Yana,F,5.5,123,,,,,,,,,,
2017,W Yana,F,2.5,98,,,,,,,,,,
2017,W Yana,F,1.5,80,,,,,,,,,,
2017,W Yana,F,5.5,98,,,,,,,,,,
2017,W Yana,F,2.5,103,,,,,,,,,,
2017,W Yana,F,4.5,94,,,,,,,,,,
2017,W Yana,F,5.5,117,,,,,,,,,,
2017,W Yana,F,4.5,109,,,,,,,,,,
2017,W Yana,F,3.5,109,,,,,,,,,,
2017,W Yana,F,2.5,95,,,,,,,,,,
2017,W Yana,F,5.5,97,,,,,,,,,,
2017,W Yana,F,9.5,109,,,,,,,,,,
2017,W Yana,M,7.5,184,204,,baby crabman,,,,,,,
2017,W Yana,F,7.5,100,,,,,,,,,,
2017,W Yana,F,3.5,105,,,,,,,,,,
2017,W Yana,F,9.5,110,,,,,,W Yana,F,10.5,121,Harvested
2017,W Yana,F,8.5,126,,,,,,W Yana,F,10.5,122,Harvested
2017,W Yana,F,7.5,114,,,,,,W Yana,F,10.5+,117,Harvested
2017,W Yana,F,4.5,95,,,,,,W Yana,F,10.5+,95,Harvested
2017,W Yana,F,4.5,108,,,,,,W Yana,F,6.5,104,Harvested
2017,W Yana,F,8.5,109,,,,,,W Yana,F,10.5+,106,Harvested
2017,W Yana,F,2.5,103,,,,,,,,,,
2017,W Yana,F,4.5,104,,,,,,,,,,
2017,W Yana,F,3.5,90,,,,,,,,,,
2017,W Yana,F,3.5,93,,,,,,,,,,
2017,W Yana,F,1.5,73,,,,,,,,,,
2017,W Yana,F,3.5,102,,,,,,,,,,
2017,W Yana,F,3.5,110,,,,,,,,,,
2017,W Yana,F,5.5,90,,,,,,,,,,
2018,W Yana,M,6.5,200,198,,,,,,,,,
2018,W Yana,F,4.5,108,,,,,,,,,,
2018,W Yana,F,8.5,118,,,,,,,,,,
2018,W Yana,F,4.5,95,,,,,,,,,,
2018,W Yana,F,4.5,119,,,,,,,,,,
2018,W Yana,F,8.5,,,,,,,,,,,
2018,W Yana,F,2.5,85,,,,,,,,,,
2018,W Yana,F,2.5,92,,,,,,,,,,
2018,W Yana,F,2.5,108,,,,,,,,,,
2018,W Yana,F,8.5,105,,,,,,,,,,
2018,W Yana,F,9.5,105,,,,,,,,,,
2018,W Yana,F,6.5,123,,,,,,,,,,
2018,W Yana,F,9.5,121,,,,,,,,,,
2018,W Yana,F,4.5,107,,,,,,,,,,
2018,W Yana,F,2.5,87,,,,,,,,,,
2018,W Yana,F,2.5,85,,,,,,,,,,
2018,W Yana,M,6.5,208,196,,,,,,,,,
2018,W Yana,F,11.5,127,,,,,,,,,,
2018,W Yana,F,6.5,105,,,,,,,,,,
2018,W Yana,F,6.5,109,,,,,,,,,,
2018,W Yana,F,4.5,102,,,,,,,,,,
2018,W Yana,F,4.5,115,,,,,,,,,,
2018,W Yana,F,6.5,101,,,,,,,,,,
2018,W Yana,F,6.5,89,,,,,,,,,,
2018,W Yana,F,5.5,85,,,,,,,,,,
2018,W Yana,F,10.5,103,,,,,,,,,,
2018,W Yana,F,4.5,96,,,,,,,,,,
2018,W Yana,F,4.5,99,,,,,,,,,,
2018,W Yana,F,3.5,111,,,,,,,,,,
2018,W Yana,F,4.5,115,,,,,,,,,,
2018,W Yana,F,3.5,106,,,,,,,,,,
2018,W Yana,F,3.5,97,,,,,,,,,,
2019,W Yana,M,6.5,193,220,,,,,,,,,
2019,W Yana,F,4.5,101,,,,,,,,,,
2019,W Yana,F,8.5,116,,,,,,,,,,
2019,W Yana,F,2.5,108,,,,,,,,,,
2019,W Yana,F,6.5,95,,,,,,,,,,
2019,W Yana,F,3.5,114,,,,,,,,,,
2019,W Yana,F,2.5,101,,,,,,,,,,
2019,W Yana,F,5.5,112,,,,,,,,,,
2019,W Yana,F,6.5,123,,,,,,,,,,
2019,W Yana,F,7.5,111,,,,,,,,,,
2019,W Yana,F,5.5,117,,,,,,,,,,
2019,W Yana,F,2.5,109,,,,,,,,,,
2019,W Yana,F,5.5,102,,,,,,,,,,
2019,W Yana,F,2.5,103,,,,,,,,,,
2019,W Yana,F,2.5,110,,,,,,,,,,
2019,W Yana,F,10.5,118,,,,,,,,,,
2019,W Yana,M,7.5,209,205,,,,,,,,,
2019,W Yana,F,6.5,97,,,,,,,,,,
2019,W Yana,F,5.5,104,,,,,,,,,,
2019,W Yana,F,2.5,104,,,,,,,,,,
2019,W Yana,F,7.5,134,,,,,,,,,,
2019,W Yana,F,9.5,114,,,,,,,,,,
2019,W Yana,F,3.5,92,,,,,,,,,,
2019,W Yana,F,5.5,120,,,,,,,,,,
2019,W Yana,F,3.5,115,,,,,,,,,,
2019,W Yana,F,5.5,107,,,,,,,,,,
2019,W Yana,F,3.5,97,,,,,,,,F,1.5,80
2019,W Yana,F,5.5,118,,,,,,,,F,1.5,96
2019,W Yana,F,10.5,108,,,,,,,,F,1.5,115
2019,W Yana,F,6.5,109,,,,,,,,F,1.5,75
2019,W Yana,F,7.5,97,,,,,,,,F,1.5,74
2019,W Yana,F,5.5,100,,,,,,,,F,12.5,108
2020,W Yana,M,6.5,195,206,,hillbilly jim,,,,,F,1.5,79
2020,W Yana,F,3.5,105,,,,,,,,F,,
2020,W Yana,F,6.5,109,,,,,,,,,,
2020,W Yana,F,8.5,115,,,,,,,,,,
2020,W Yana,F,6.5,115,,,,,,,,,,
2020,W Yana,F,4.5,109,,,,,,,,,,
2020,W Yana,F,3.5,114,,,,,,,,,,
2020,W Yana,F,4.5,95,,,,,,,,,,
2020,W Yana,F,2.5,107,,,,,,,,,,
2020,W Yana,F,4.5,93,,,,,,,,,,
2020,W Yana,F,2.5,107,,,,,,,,,,
2020,W Yana,F,2.5,96,,,,,,,,,,
2020,W Yana,F,8.5,101,,,,,,,,,,
2020,W Yana,F,7.5,111,,,,,,,,,,
2020,W Yana,F,7.5,84,,,,,,,,,,
2020,W Yana,F,6.5,101,,,,,,,,,,
2020,W Yana,M,7.5,174,237,,grade schooler,,,,,,,
2020,W Yana,F,6.5,116,,,,,,,,,,
2020,W Yana,F,8.5,99,,,,,,,,,,
2020,W Yana,F,8.5,111,,,,,,,,,,
2020,W Yana,F,5.5,112,,,,,,,,,,
2020,W Yana,F,2.5,87,,,,,,,,,,
2020,W Yana,F,5.5,118,,,,,,,,,,
2020,W Yana,F,3.5,96,,,,,,,,,,
2020,W Yana,F,7.5,112,,,,,,,,,,
2020,W Yana,F,10.5,106,,,,,,,,,,
2020,W Yana,F,2.5,108,,,,,,,,,,
2020,W Yana,F,2.5,104,,,,,,,,,,
2020,W Yana,F,3.5,99,,,,,,,,,,
2020,W Yana,F,3.5,95,,,,,,,,,,
2020,W Yana,F,2.5,87,,,,,,,,,,
2020,W Yana,F,11.5,110,,,,,,,,,,
2021,W Yana,M,4.5,167,168,,,,,,,,,
2021,W Yana,F,5.5,122,,,,,,,,,,
2021,W Yana,F,7.5,82,,,,,,,,,,
2021,W Yana,F,5.5,119,,,,,,,,,,
2021,W Yana,F,4.5,104,,,,,,,,,,
2021,W Yana,F,4.5,98,,,,,,,,,,
2021,W Yana,F,7.5,93,,,,,,,,,,
2021,W Yana,F,3.5,111,,,,,,,,,,
2021,W Yana,F,7.5,125,,,,,,,,,,
2021,W Yana,F,2.5,90,,,,,,,,,,
2021,W Yana,F,3.5,111,,,,,,,,,,
2021,W Yana,F,5.5,103,,,,,,,,,,
2021,W Yana,F,6.5,93,,,,,,,,,,
2021,W Yana,F,4.5,113,,,,,,,,,,
2021,W Yana,F,10.5,123,,,,,,,,,,
2021,W Yana,F,3.5,112,,,,,,,,,,
2021,W Yana,M,5.5,184,191,,,,,,,,,
2021,W Yana,F,4.5,106,,,,,,,,,,
2021,W Yana,F,2.5,99,,,,,,,,,,
2021,W Yana,F,2.5,116,,,,,,,,,,
2021,W Yana,F,10.5,105,,,,,,,,,,
2021,W Yana,F,9.5,105,,,,,,,,,,
2021,W Yana,F,4.5,111,,,,,,,,,,
2021,W Yana,F,7.5,104,,,,,,,,,,
2021,W Yana,F,3.5,103,,,,,,,,,,
2021,W Yana,F,3.5,99,,,,,,,,,,
2021,W Yana,F,8.5,96,,,,,,,,,,
2021,W Yana,F,7.5,117,,,,,,,,,,
2021,W Yana,F,9.5,122,,,,,,,,,,
2021,W Yana,F,3.5,109,,,,,,,,,,
2021,W Yana,F,5.5,99,,,,,,,,,,
2021,W Yana,F,7.5,101,,,,,,,,,,
2021,W Yana,F,1.5,88,,,,,,,,,,
